name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,intersection_id,poi_id,notes
,1180,175179182,,,,,,,-114.5514795,35.1864235,,,
,1181,301501101,,,,,,,-114.5514881,35.1865439,,,
,1182,175179185,,,,,,,-114.5515531,35.1877695,,,
,1183,889540726,,,,,,,-114.5468166,35.1784352,,,
,1184,175179707,,,,,,,-114.5469644,35.1785104,,,
,1185,175179712,turning_circle,,,,,,-114.5475151,35.1796575,,,
,1186,175179837,,,,,,,-114.5709662,35.1070233,,,
,1187,175179839,,,,,,,-114.5698321,35.1070283,,,
,1188,175180036,,,,,,,-114.568436,35.0618864,,,
,1189,175180206,,,,,,,-114.5647625,35.151461,,,
,1190,175180208,turning_circle,,,,,,-114.5648833,35.1506834,,,
,1191,175180214,,,,,,,-114.6220155,35.1121473,,,
,1192,175156581,,,,,,,-114.6130025,35.1121418,,,
,1193,175180677,,,,,,,-114.6009427,35.0904551,,,
,1194,175175600,,,,,,,-114.6017771,35.0909627,,,
,1195,175180697,,,,,,,-114.53018,35.1883482,,,
,1196,175180836,,,,,,,-114.5889731,35.0730899,,,
,1197,175180837,,,,,,,-114.5866842,35.0730994,,,
,1198,175180919,,,,,,,-114.5826204,35.1143258,,,
,1199,175180922,turning_circle,,,,,,-114.5825724,35.1150389,,,
,1200,175180981,turning_circle,,,,,,-114.6137262,35.1036369,,,
,1201,175181415,,,,,,,-114.610818,35.111472,,,
,1202,175181778,,,,,,,-114.6236038,35.1022978,,,
,1203,175181782,,,,,,,-114.623981,35.101841,,,
,1204,175181948,,,,,,,-114.5484029,35.1765014,,,
,1205,175181950,,,,,,,-114.5433668,35.1765125,,,
,1206,175181952,,,,,,,-114.5413218,35.1765383,,,
,1207,175107871,,,,,,,-114.5384931,35.1765406,,,
,1208,889541201,,,,,,,-114.5369198,35.1766279,,,
,1209,889541091,,,,,,,-114.5353031,35.1766704,,,
,1210,175182090,turning_circle,,,,,,-114.599537,35.113616,,,
,1211,175182836,turning_circle,,,,,,-114.573245,35.0446284,,,
,1212,175183009,,,,,,,-114.5673272,35.1476165,,,
,1213,1464400465,,,,,,,-114.5683729,35.1477346,,,
,1214,1464400506,,,,,,,-114.5720549,35.1481613,,,
,1215,175183185,,,,,,,-114.6285562,35.0967357,,,
,1216,175183188,turning_circle,,,,,,-114.628659,35.0970304,,,
,1217,175183820,,,,,,,-114.6353908,35.1012911,,,
,1218,175107866,,,,,,,-114.5386438,35.1784646,,,
,1219,175185264,,,,,,,-114.608714,35.081051,,,
,1220,175185268,,,,,,,-114.6066393,35.0823783,,,
,1221,175187661,,,,,,,-114.5636818,35.1528789,,,
,1222,175187666,,,,,,,-114.5664777,35.1530122,,,
,1223,175187896,turning_circle,,,,,,-114.5069374,35.1680696,,,
,1224,175187898,,,,,,,-114.5068854,35.1687757,,,
,1225,175187906,,,,,,,-114.507623,35.1697921,,,
,1226,175117132,,,,,,,-114.508455,35.1711888,,,
,1227,175187920,,,,,,,-114.5094276,35.1727437,,,
,1228,175187935,,,,,,,-114.510637,35.1759675,,,
,1229,175187945,,,,,,,-114.5095196,35.1771626,,,
,1230,174834305,,,,,,,-114.5024187,35.1787792,,,
,1231,2097686910,,,,,,,-114.5024192,35.180391,,,
,1232,175187951,,,,,,,-114.5023962,35.1811734,,,
,1233,175187955,,,,,,,-114.5024109,35.1824114,,,
,1234,174921847,,,,,,,-114.500456,35.1855352,,,
,1235,301500977,,,,,,,-114.5004071,35.1856095,,,
,1236,1464400497,,,,,,,-114.5680879,35.1495277,,,
,1237,175188582,,,,,,,-114.5670239,35.1494799,,,
,1238,1464400457,,,,,,,-114.5654352,35.1495561,,,
,1239,1464400482,,,,,,,-114.5637722,35.1497447,,,
,1240,175188744,,,,,,,-114.6238932,35.1079613,,,
,1241,175188747,,,,,,,-114.623882,35.110414,,,
,1242,175188754,,,,,,,-114.6250147,35.1137666,,,
,1243,175188758,,,,,,,-114.625354,35.1144136,,,
,1244,175190024,,,,,,,-114.6070193,35.1136149,,,
,1245,175190933,,,,,,,-114.5263477,35.1881057,,,
,1246,175190935,,,,,,,-114.5273153,35.1880078,,,
,1247,175191017,,,,,,,-114.5682033,35.0642362,,,
,1248,2687514136,,,,,,,-114.5687634,35.0641092,,,
,1249,175191217,,,,,,,-114.5667356,35.1514634,,,
,1250,175191221,,,,,,,-114.5638693,35.1514349,,,
,1251,175191224,,,,,,,-114.5637226,35.1514389,,,
,1252,1464400504,,,,,,,-114.5677831,35.1513382,,,
,1253,175191303,,,,,,,-114.5574405,35.0838101,,,
,1254,175191315,,,,,,,-114.5564283,35.0831231,,,
,1255,175191374,,,,,,,-114.6000856,35.0934193,,,
,1256,175191377,,,,,,,-114.6000953,35.0921293,,,
,1257,175191383,,,,,,,-114.6000776,35.0911446,,,
,1258,175191388,,,,,,,-114.6024705,35.0893875,,,
,1259,9238248764,,,,,,,-114.602931,35.0891737,,,
,1260,6992522329,,,,,,,-114.6409831,35.1028151,,,
,1261,175191715,,,,,,,-114.6410903,35.1028123,,,
,1262,175191733,,,,,,,-114.6420455,35.1048411,,,
,1263,9348134745,,,,,,,-114.594475,35.0761718,,,
,1264,175192973,traffic_signals,,signal,,,,-114.5931993,35.0763576,,,
,1265,175193075,,,,,,,-114.5323735,35.1506521,,,
,1266,175193080,,,,,,,-114.5319985,35.1501544,,,
,1267,175193094,,,,,,,-114.5312955,35.1489487,,,
,1268,175193254,,,,,,,-114.6050173,35.0811247,,,
,1269,175193257,,,,,,,-114.605954,35.0818756,,,
,1270,175193259,,,,,,,-114.6080175,35.0834801,,,
,1271,175193296,,,,,,,-114.5205523,35.1845528,,,
,1272,175193301,turning_circle,,,,,,-114.5192944,35.1851647,,,
,1273,175193486,,,,,,,-114.588452,35.110019,,,
,1274,175193492,,,,,,,-114.5888975,35.1129334,,,
,1275,175193614,,,,,,,-114.607894,35.0934131,,,
,1276,175193617,turning_circle,,,,,,-114.6078271,35.092964,,,
,1277,175193642,,,,,,,-114.5347464,35.1865707,,,
,1278,175193702,,,,,,,-114.5421428,35.181144,,,
,1279,175193704,turning_circle,,,,,,-114.542141,35.180854,,,
,1280,2688395497,,,,,,,-114.6241359,35.0912604,,,
,1281,175194297,,,,,,,-114.6144013,35.0934137,,,
,1282,175194301,turning_circle,,,,,,-114.6144183,35.093807,,,
,1283,175194361,,,,,,,-114.6349863,35.0986526,,,
,1284,6992549146,,,,,,,-114.6377988,35.0996059,,,
,1285,175026589,,,,,,,-114.5436421,35.0974002,,,
,1286,175195131,,,,,,,-114.6319174,35.1013113,,,
,1287,175195149,,,,,,,-114.6303987,35.1049021,,,
,1288,175195188,,,,,,,-114.5996187,35.0841804,,,
,1289,175195200,,,,,,,-114.602414,35.0843723,,,
,1290,175195206,,,,,,,-114.6017974,35.0838403,,,
,1291,175195303,turning_circle,,,,,,-114.5945558,35.1097901,,,
,1292,175197287,,,,,,,-114.5346816,35.184006,,,
,1293,9507984024,,,,,,,-114.5333243,35.184088,,,
,1294,175197296,,,,,,,-114.532024,35.1847105,,,
,1295,175197300,,,,,,,-114.5299744,35.1863137,,,
,1296,175190937,,,,,,,-114.5292219,35.1879867,,,
,1297,175197307,,,,,,,-114.5291865,35.1891688,,,
,1298,175197338,,,,,,,-114.6268699,35.0986476,,,
,1299,175197340,turning_circle,,,,,,-114.6265578,35.0990378,,,
,1300,175197241,,,,,,,-114.6024259,35.0333279,,,
,1301,175197606,turning_circle,,,,,,-114.5401944,35.1781286,,,
,1302,175197936,turning_circle,,,,,,-114.5322687,35.1433268,,,
,1303,175063980,,,,,,,-114.6330193,35.1137159,,,
,1304,175198025,,,,,,,-114.6337033,35.1132676,,,
,1305,175198032,,,,,,,-114.595803,35.0443289,,,
,1306,175198982,,,,,,,-114.603101,35.1079394,,,
,1307,175198985,,,,,,,-114.603101,35.1087186,,,
,1308,175198987,,,,,,,-114.6030907,35.1101844,,,
,1309,175198992,,,,,,,-114.6030754,35.1152162,,,
,1310,175199704,turning_circle,,,,,,-114.58735,35.045302,,,
,1311,175199772,,,,,,,-114.5974386,35.1030422,,,
,1312,175199784,,,,,,,-114.5954,35.1036482,,,
,1313,175199826,,,,,,,-114.517567,35.1680802,,,
,1314,175199838,turning_circle,,,,,,-114.5000795,35.1680631,,,
,1315,175199985,,,,,,,-114.6327811,35.0983204,,,
,1316,175199989,,,,,,,-114.6327856,35.0990877,,,
,1317,175200119,,,,,,,-114.5906941,35.0722683,,,
,1318,175200957,,,,,,,-114.5563646,35.1771596,,,
,1319,175200960,,,,,,,-114.5560343,35.1774613,,,
,1320,175200963,,,,,,,-114.5544894,35.1774886,,,
,1321,175200970,,,,,,,-114.552414,35.1774818,,,
